number,sigma,r,rmse_centrado,sigma_norm
OBS,0.8981,1.0000,0.0000,1.0000
M01,0.8235,0.0469,1.1785,0.9170
M02,0.8650,0.0720,1.1918,0.9631
M03,0.9625,-0.0308,1.3266,1.0717
M04,1.0271,0.2280,1.1925,1.1437
M05,1.2252,0.0617,1.4571,1.3643
M06,1.3936,-0.0487,1.6751,1.5517
M07,1.2579,-0.0144,1.5418,1.4006
M08,1.1397,-0.0882,1.4996,1.2690
M09,1.2775,-0.0755,1.5942,1.4225
M10,1.3730,0.1233,1.5339,1.5288
M11,0.9959,-0.0366,1.3504,1.1089
M12,0.5916,-0.0198,1.0689,0.6587
M13,1.0991,0.0163,1.3965,1.2238
M14,0.8425,0.1589,1.1159,0.9381
M15,0.7929,0.0838,1.1351,0.8829
M16,0.8004,0.0105,1.1852,0.8912
M17,0.7699,0.1459,1.0811,0.8573
M18,0.8107,0.1473,1.1080,0.9028
M19,0.8171,0.0837,1.1434,0.9099
M20,1.5428,-0.0327,1.7934,1.7179
M21,0.9146,0.1000,1.2055,1.0184
M22,0.9906,0.0825,1.2622,1.1030
M23,1.3941,0.0606,1.6053,1.5523
M24,1.1427,0.0852,1.3890,1.2724
M25,1.3746,0.0033,1.6206,1.5306
M26,0.8570,0.0786,1.1758,0.9542
M27,0.4713,0.0780,0.9664,0.5248
M28,0.4973,0.1552,0.9403,0.5538
M29,1.0652,0.0227,1.3699,1.1861
M30,0.7726,0.1407,1.0871,0.8602
M31,0.7978,0.1155,1.1217,0.8883
M32,1.4691,-0.0095,1.7188,1.6358
M33,1.1654,-0.0831,1.5222,1.2977
M34,0.8974,0.0113,1.2397,0.9992
M35,0.8590,0.0416,1.1992,0.9565
M36,1.0274,0.1171,1.2762,1.1440
M37,1.5031,0.0508,1.7048,1.6737
M38,1.5037,0.0563,1.7080,1.6743
M39,1.1883,-0.1069,1.5558,1.3232
M40,1.0635,0.1742,1.2597,1.1841
