number,1,2,3,4,5,6,7,8,9,10,11,12
M01,26.9647,26.8065,26.6278,26.8356,27.2660,27.4018,27.2534,26.8886,26.6986,26.8778,27.0391,27.0617
M02,26.6046,26.7528,26.7017,26.8123,27.4638,27.8177,27.7945,27.5606,27.1777,26.9222,26.8295,26.7235
M03,25.3065,25.4112,25.6985,26.2614,26.3608,26.2052,25.7248,25.2003,25.0575,25.1759,25.2726,25.2913
M04,27.0802,26.9515,26.7259,26.8007,27.1765,27.2387,27.0062,26.7275,26.6146,26.7480,26.9482,27.0594
M05,27.2588,27.1058,26.8096,26.4887,26.7082,26.9990,26.7180,26.2243,26.2016,26.6894,27.1650,27.3170
M06,26.9360,27.7436,28.5272,29.0500,29.1995,28.6556,27.4040,26.2194,25.5420,25.3461,25.8825,26.3547
M07,27.3866,27.5907,27.9165,28.3325,28.6031,28.3933,27.8764,27.1628,26.6714,26.6588,26.9516,27.2385
M08,26.3563,26.6509,27.1971,27.7754,27.9931,27.8508,27.3980,26.6590,26.0785,25.8846,26.0318,26.2135
M09,26.2267,26.6854,27.1616,27.8555,28.2549,27.7302,27.0101,26.2934,25.8251,25.6653,25.8873,25.9378
M10,26.4449,26.7765,27.3344,27.9935,28.2870,27.9169,27.2378,26.5317,26.1464,26.1910,26.4103,26.3584
M11,25.6299,25.9453,26.3703,27.0585,27.2257,26.7041,26.1156,25.4084,24.9628,25.1033,25.2172,25.3113
M12,26.2594,26.4352,26.8213,27.4465,27.4223,26.7572,26.2644,25.8122,25.6456,25.8472,26.0465,26.1835
M13,25.8985,26.2156,26.6796,27.6305,27.9371,27.2024,26.5093,25.6887,25.1604,25.3239,25.6301,25.7289
M14,26.7767,26.8276,26.9884,27.4797,27.6175,27.3275,26.9565,26.5032,26.3263,26.4204,26.5826,26.6505
M15,26.6394,26.6387,26.7558,27.2335,27.5201,27.1920,26.8127,26.3893,26.1814,26.3406,26.5112,26.5643
M16,26.6978,26.7620,26.8157,27.2480,27.5402,27.2025,26.7942,26.3698,26.1902,26.3408,26.5188,26.5845
M17,27.2906,27.1828,27.1889,27.5593,27.9784,27.9115,27.5699,27.0100,26.7972,27.0060,27.2399,27.3587
M18,27.1899,27.1577,27.2109,27.5491,27.9101,27.8458,27.4373,26.8163,26.6046,26.8257,27.0573,27.1908
M19,26.7723,26.7563,26.7013,26.9392,27.4153,27.3016,26.9120,26.4314,26.1409,26.3568,26.6435,26.7870
M20,26.9168,27.0529,27.2633,27.5458,27.6801,27.4679,26.9998,26.5459,26.3465,26.5186,26.7089,26.7809
M21,26.9762,27.0381,27.2590,27.5801,27.7278,27.4599,26.9868,26.5568,26.5307,26.8003,26.9904,26.9976
M22,26.3406,26.3613,26.3676,26.9760,27.6574,27.5033,26.9951,26.1492,25.6165,25.6580,25.8813,26.0732
M23,28.2458,28.0261,28.1038,28.3713,28.5388,28.3170,27.5157,26.7098,26.6378,27.3634,28.0647,28.3135
M24,27.7295,27.7143,27.8843,28.0753,28.1679,28.1459,27.6888,26.8187,26.4214,26.8805,27.5466,27.7993
M25,26.4366,26.4963,26.5876,26.6710,26.7031,26.4285,25.7044,24.9605,24.6308,25.0581,25.7612,26.2625
M26,26.1210,26.1169,26.1909,26.6088,27.1938,27.1568,26.4378,25.7570,25.4695,25.4977,25.6577,25.9515
M27,24.8520,25.7935,26.4003,26.9127,27.1895,26.5997,25.2530,23.7441,23.1887,23.4647,23.9236,24.2753
M28,24.7885,25.8381,26.5874,27.0686,27.2474,26.6913,25.3685,23.7420,23.0704,23.5177,24.0931,24.2403
M29,25.1625,25.6859,26.4975,27.2965,27.1603,26.6345,26.0911,25.5251,25.2758,25.2141,25.0935,24.9568
M30,26.8172,26.9297,27.0444,27.2438,27.4494,27.3477,26.8848,26.2438,25.9662,26.2083,26.5179,26.7362
M31,28.0662,28.0600,28.3675,28.9704,29.3327,29.0713,28.5324,27.9088,27.8774,28.3535,28.4034,28.2739
M32,26.4448,26.8176,27.3661,27.9541,28.0678,27.7124,27.2023,26.6841,26.5442,26.7638,26.5222,26.3750
M33,25.9089,26.3009,26.7741,27.3062,27.5304,27.3096,26.8134,26.0445,25.7272,25.7066,25.6270,25.6594
M34,26.5626,26.6606,27.0600,27.5947,27.7662,27.2877,26.4707,25.7984,25.7779,26.1045,26.4046,26.4829
M35,25.5913,25.8583,26.3537,26.9880,27.3014,26.9125,26.0995,25.3739,25.3618,25.4602,25.6042,25.5983
M36,27.6435,27.5353,27.4680,27.4663,27.4872,27.2482,26.9380,26.5892,26.4848,26.8954,27.3668,27.6277
M37,27.0520,26.9332,26.8817,26.9568,27.3508,27.5396,27.4561,27.0919,26.7490,26.7337,26.9510,27.0781
M38,25.9973,26.0926,26.3843,26.9442,27.2593,27.3579,27.1363,26.6984,26.2659,25.9942,25.9667,26.0730
M39,26.1928,26.5616,26.9822,27.6001,28.2404,28.3005,27.7491,26.7788,26.0320,25.7939,25.9909,26.1184
M40,25.9538,26.0973,26.2838,26.7442,26.7622,26.5526,26.1951,25.5716,25.3376,25.6497,25.9237,25.9641
