prioridad,model,tiene_tos,tiene_hist,cual_historical,tiene_ssp245,tiene_ssp370,tiene_ssp585,experimentos_encontrados
0,CanESM5,1,1,historical,1,1,1,1pctCO2|1pctCO2-bgc|1pctCO2-cdr|1pctCO2-rad|G1|abrupt-0p5xCO2|abrupt-2xCO2|abrupt-4xCO2|abrupt-solm4p|abrupt-solp4p|dcppA-assim|dcppA-hindcast|dcppB-forecast|dcppC-atl-spg|dcppC-forecast-addAgung|dcppC-forecast-addElChichon|dcppC-forecast-addPinatubo|dcppC-hindcast-noAgung|dcppC-hindcast-noElChichon|dcppC-hindcast-noPinatubo|deforest-globe|esm-1pct-brch-1000PgC|esm-1pct-brch-2000PgC|esm-hist|esm-pi-CO2pulse|esm-pi-cdr-pulse|esm-piControl|esm-ssp585|esm-ssp585-ssp126Lu|faf-all|faf-antwater-stress|faf-heat|faf-heat-NA0pct|faf-heat-NA50pct|faf-passiveheat|faf-stress|faf-water|hist-CO2|hist-GHG|hist-GHG-cmip5|hist-aer|hist-aer-cmip5|hist-bgc|hist-nat|hist-nat-cmip5|hist-noLu|hist-sol|hist-stratO3|hist-totalO3|hist-volc|historical|historical-cmip5|omip1|omip1-spunup|piControl|piControl-cmip5|rcp26-cmip5|rcp45-cmip5|rcp85-cmip5|ssp119|ssp126|ssp126-ssp370Lu|ssp245|ssp245-GHG|ssp245-aer|ssp245-nat|ssp245-stratO3|ssp370|ssp370-ssp126Lu|ssp434|ssp460|ssp534-over|ssp534-over-bgc|ssp585|ssp585-bgc|volc-long-eq|volc-pinatubo-full
0,CanESM5-1,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|historical|piControl|ssp119|ssp126|ssp245|ssp370|ssp460|ssp585
0,CanESM5-CanOE,1,1,historical,1,1,1,1pctCO2|1pctCO2-bgc|1pctCO2-rad|esm-hist|esm-pi-CO2pulse|esm-pi-cdr-pulse|esm-piControl|esm-ssp585|historical|omip1|piControl|ssp126|ssp245|ssp370|ssp585
0,EC-Earth3,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|dcppA-hindcast|dcppB-forecast|dcppC-amv-neg|dcppC-amv-pos|dcppC-hindcast-noAgung|dcppC-hindcast-noElChichon|dcppC-hindcast-noPinatubo|historical|omip1|omip2|pa-futArcSIC-ext|pa-pdSIC-ext|pdSST-futArcSIC|pdSST-pdSIC|piControl|ssp119|ssp126|ssp245|ssp245-cov-fossil|ssp245-cov-modgreen|ssp245-cov-strgreen|ssp245-covid|ssp370|ssp434|ssp460|ssp534-over|ssp585
0,EC-Earth3-Veg,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|historical|piControl|ssp119|ssp126|ssp245|ssp370|ssp434|ssp460|ssp534-over|ssp585
0,EC-Earth3-Veg-LR,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|historical|piControl|ssp119|ssp126|ssp245|ssp370|ssp585
0,FGOALS-f3-L,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|dcppA-hindcast|dcppB-forecast|hist-resIPO|historical|lig127k|midHolocene|omip1|omip2|piControl|ssp126|ssp245|ssp370|ssp585
0,FGOALS-g3,1,1,historical,1,1,1,1pctCO2|hist-GHG|hist-aer|hist-nat|historical|lig127k|midHolocene|piControl|ssp119|ssp126|ssp245|ssp370|ssp434|ssp460|ssp534-over|ssp585
0,GFDL-ESM4,1,1,historical,1,1,1,1pctCO2|1pctCO2-bgc|1pctCO2-cdr|1pctCO2-rad|abrupt-4xCO2|esm-hist|esm-piControl|esm-ssp585|hist-GHG|hist-aer|hist-nat|historical|piControl|ssp119|ssp126|ssp245|ssp370|ssp585
0,GISS-E2-1-G,1,1,historical,1,1,1,1pctCO2|1pctCO2-4xext|1pctCO2-bgc|1pctCO2-rad|abrupt-0p5xCO2|abrupt-2xCO2|abrupt-4xCO2|amip|amip-4xCO2|amip-p4K|amip-piForcing|deforest-globe|hist-1950HC|hist-GHG|hist-aer|hist-bgc|hist-nat|hist-piAer|hist-piNTCF|hist-sol|hist-stratO3|hist-totalO3|hist-volc|histSST|histSST-1950HC|histSST-noLu|histSST-piAer|histSST-piCH4|histSST-piN2O|histSST-piNTCF|histSST-piO3|historical|land-hist|lig127k|midHolocene|midPliocene-eoi400|piClim-2xDMS|piClim-2xNOx|piClim-2xVOC|piClim-2xdust|piClim-2xfire|piClim-2xss|piClim-4xCO2|piClim-BC|piClim-CH4|piClim-HC|piClim-N2O|piClim-NH3|piClim-NOx|piClim-NTCF|piClim-O3|piClim-OC|piClim-SO2|piClim-VOC|piClim-aer|piClim-anthro|piClim-control|piClim-ghg|piClim-histaer|piClim-histall|piClim-histghg|piClim-histnat|piClim-lu|piControl|ssp119|ssp126|ssp245|ssp245-GHG|ssp245-aer|ssp245-covid|ssp245-nat|ssp245-stratO3|ssp370|ssp370-lowNTCF|ssp370-lowNTCFCH4|ssp370SST|ssp370SST-lowAer|ssp370SST-lowBC|ssp370SST-lowCH4|ssp370SST-lowNTCF|ssp370SST-lowNTCFCH4|ssp370SST-lowO3|ssp370pdSST|ssp434|ssp460|ssp534-over|ssp585|volc-pinatubo-full
